CHRIS/ASX_VC3,"Eastern Australia Canola Futures, Continuous Contract #3 (VC3)"
CHRIS/ASX_VW5,"NSW Wheat Futures, Continuous Contract #5 (VW5)"
CHRIS/ASX_VC2,"Eastern Australia Canola Futures, Continuous Contract #2 (VC2)"
CHRIS/LIFFE_EMA2,"Corn Futures, Continuous Contract #2 (EMA2)"
CHRIS/ASX_VC4,"Eastern Australia Canola Futures, Continuous Contract #4 (VC4)"
CHRIS/ASX_VC5,"Eastern Australia Canola Futures, Continuous Contract #5 (VC5)"
CHRIS/LIFFE_EMA1,"Corn Futures, Continuous Contract #1 (EMA1) (Front Month)"
CHRIS/LIFFE_EMA4,"Corn Futures, Continuous Contract #4 (EMA4)"
CHRIS/LIFFE_EMA5,"Corn Futures, Continuous Contract #5 (EMA5)"
CHRIS/LIFFE_EMA3,"Corn Futures, Continuous Contract #3 (EMA3)"
CHRIS/LIFFE_EMA6,"Corn Futures, Continuous Contract #6 (EMA6)"
CHRIS/LIFFE_EMA9,"Corn Futures, Continuous Contract #9 (EMA9)"
CHRIS/LIFFE_EMA7,"Corn Futures, Continuous Contract #7 (EMA7)"
CHRIS/LIFFE_EMA8,"Corn Futures, Continuous Contract #8 (EMA8)"
CHRIS/LIFFE_EBM2,"Milling Wheat Futures, Continuous Contract #2 (EBM2)"
CHRIS/LIFFE_EBM3,"Milling Wheat Futures, Continuous Contract #3 (EBM3)"
CHRIS/LIFFE_EMA10,"Corn Futures, Continuous Contract #10 (EMA10)"
CHRIS/LIFFE_EBM1,"Milling Wheat Futures, Continuous Contract #1 (EBM1) (Front Month)"
CHRIS/LIFFE_EBM4,"Milling Wheat Futures, Continuous Contract #4 (EBM4)"
CHRIS/LIFFE_EBM6,"Milling Wheat Futures, Continuous Contract #6 (EBM6)"
CHRIS/LIFFE_EBM5,"Milling Wheat Futures, Continuous Contract #5 (EBM5)"
CHRIS/LIFFE_T1,"UK Feed Wheat Future, Continuous Contract #1 (T1) (Front Month)"
CHRIS/LIFFE_T2,"UK Feed Wheat Future, Continuous Contract #2 (T2)"
CHRIS/LIFFE_T3,"UK Feed Wheat Future, Continuous Contract #3 (T3)"
CHRIS/LIFFE_T4,"UK Feed Wheat Future, Continuous Contract #4 (T4)"
CHRIS/LIFFE_T5,"UK Feed Wheat Future, Continuous Contract #5 (T5)"
CHRIS/LIFFE_ECO1,"Rapeseed Futures, Continuous Contract #1 (ECO1) (Front Month)"
CHRIS/LIFFE_ECO2,"Rapeseed Futures, Continuous Contract #2 (ECO2)"
CHRIS/LIFFE_ECO5,"Rapeseed Futures, Continuous Contract #5 (ECO5)"
CHRIS/LIFFE_ECO3,"Rapeseed Futures, Continuous Contract #3 (ECO3)"
CHRIS/LIFFE_ECO6,"Rapeseed Futures, Continuous Contract #6 (ECO6)"
CHRIS/LIFFE_ECO7,"Rapeseed Futures, Continuous Contract #7 (ECO7)"
CHRIS/LIFFE_ECO4,"Rapeseed Futures, Continuous Contract #4 (ECO4)"
CHRIS/LIFFE_ECO8,"Rapeseed Futures, Continuous Contract #8 (ECO8)"
CHRIS/LIFFE_EOB1,"Malting Barley Futures, Continuous Contract #1 (EOB1) (Front Month)"
